,BF4,DCA,PF6,SCN.N,SCN.S,Tf2N,TFA,TfO
B3LYP/def2-SVP,2471.27,2466.41,2474.56,2466.9,2466.52,,2467.22,2466.79
B3LYP-D3(BJ)/def2-SVP,2472.54,2474.51,2475.29,2472.65,2467.22,,,2467.54
wB97X-D/def2-SVP,2515.76,2511.41,2519.36,2507.38,2508.32,2513.14,2509.06,2508.95
wB97X-D/def2-TZVP,2452.41,2452.43,2453.52,2451.37,2450.4,,2450.76,2451.07
wB97X-D/def2-QZVP,,,,,,,,
wB97X-D3/def2-SVP,2515.33,2511.16,2518.66,2509.23,2509.62,2514.6,2509.38,2509.94
wB97X-D3/def2-QZVP,,,,,,,,
